Дата;Артикул;Наименование;Тип;Количество;Комментарий
2026-09-04;PP-32;Канат ПП 32мм (48-прядный);Приход;48;Производство (плетение)
2026-09-04;PP-24;Канат ПП 24мм (48-прядный);Приход;83;Производство (плетение)
2026-09-04;PP-20;Канат ПП 20мм (32-прядный);Продажа;-132;Отгрузка клиенту
2026-09-04;PP-20;Канат ПП 20мм (32-прядный);Приход;113;Производство (плетение)
2026-09-04;PP-16;Канат ПП 16мм (24-прядный);Продажа;-116;Отгрузка клиенту
2026-09-04;PP-16;Канат ПП 16мм (24-прядный);Приход;198;Производство (плетение)
2026-09-04;PP-12;Канат ПП 12мм (16-прядный);Приход;266;Производство (плетение)
2026-09-04;PP-10;Канат ПП 10мм (12-прядный);Продажа;-389;Отгрузка клиенту
2026-09-04;PP-10;Канат ПП 10мм (12-прядный);Приход;389;Производство (плетение)
2026-09-04;PP-8;Канат ПП 8мм (8-прядный);Продажа;-340;Отгрузка клиенту
2026-09-04;PP-8;Канат ПП 8мм (8-прядный);Приход;363;Производство (плетение)
2026-09-04;PA-16;Канат полиамидный 16мм;Продажа;-102;Отгрузка клиенту
2026-09-04;PA-16;Канат полиамидный 16мм;Приход;132;Производство (плетение)
2026-09-04;PA-14;Канат полиамидный 14мм;Приход;158;Производство (плетение)
2026-09-04;PA-12;Канат полиамидный 12мм;Продажа;-177;Отгрузка клиенту
2026-09-04;PA-12;Канат полиамидный 12мм;Приход;246;Производство (плетение)
2026-09-04;PA-10;Канат полиамидный 10мм;Приход;327;Производство (плетение)
2026-09-04;PA-8;Канат полиамидный 8мм;Продажа;-261;Отгрузка клиенту
2026-09-04;PA-8;Канат полиамидный 8мм;Приход;403;Производство (плетение)
2026-09-04;PA-6;Канат полиамидный 6мм;Продажа;-299;Отгрузка клиенту
2026-09-04;PA-6;Канат полиамидный 6мм;Приход;522;Производство (плетение)
2026-09-04;PA-4;Канат полиамидный 4мм;Продажа;-364;Отгрузка клиенту
2026-09-04;PA-4;Канат полиамидный 4мм;Приход;563;Производство (плетение)
2026-09-04;LS-16;Канат низкорастяжимый 16мм;Продажа;-61;Отгрузка клиенту
2026-09-04;LS-16;Канат низкорастяжимый 16мм;Приход;81;Производство (плетение)
2026-09-04;LS-14;Канат низкорастяжимый 14мм;Продажа;-87;Отгрузка клиенту
2026-09-04;LS-14;Канат низкорастяжимый 14мм;Приход;105;Производство (плетение)
2026-09-04;LS-12;Канат низкорастяжимый 12мм;Продажа;-143;Отгрузка клиенту
2026-09-04;LS-12;Канат низкорастяжимый 12мм;Приход;121;Производство (плетение)
2026-09-04;LS-10;Канат низкорастяжимый 10мм;Продажа;-149;Отгрузка клиенту
2026-09-04;LS-10;Канат низкорастяжимый 10мм;Приход;143;Производство (плетение)
2026-09-04;HMPE-12;Канат HMPE 12мм;Продажа;-33;Отгрузка клиенту
2026-09-04;HMPE-12;Канат HMPE 12мм;Приход;55;Производство (плетение)
2026-09-04;HMPE-10;Канат HMPE 10мм;Продажа;-61;Отгрузка клиенту
2026-09-04;HMPE-10;Канат HMPE 10мм;Приход;83;Производство (плетение)
2026-09-04;HMPE-8;Канат HMPE 8мм;Продажа;-70;Отгрузка клиенту
2026-09-04;HMPE-8;Канат HMPE 8мм;Приход;125;Производство (плетение)
2026-09-04;HMPE-6;Канат HMPE 6мм;Приход;227;Производство (плетение)
2026-09-04;HMPE-4;Канат HMPE 4мм;Продажа;-306;Отгрузка клиенту
2026-09-04;HMPE-4;Канат HMPE 4мм;Приход;346;Производство (плетение)
2026-09-04;HMPE-3;Канат HMPE 3мм;Продажа;-389;Отгрузка клиенту
2026-09-04;HMPE-3;Канат HMPE 3мм;Приход;384;Производство (плетение)
2026-09-04;HMPE-2;Канат HMPE 2мм;Продажа;-473;Отгрузка клиенту
2026-09-04;HMPE-2;Канат HMPE 2мм;Приход;373;Производство (плетение)
2026-09-04;ARAM-6;Шнур арамидный 6мм;Приход;164;Производство (плетение)
2026-09-04;ARAM-4;Шнур арамидный 4мм;Приход;209;Производство (плетение)
2026-09-04;REP-8;Репшнур 8мм (ПА);Продажа;-113;Отгрузка клиенту
2026-09-04;REP-8;Репшнур 8мм (ПА);Приход;221;Производство (плетение)
2026-09-04;REP-7;Репшнур 7мм (арамид);Продажа;-142;Отгрузка клиенту
2026-09-04;REP-7;Репшнур 7мм (арамид);Приход;140;Производство (плетение)
2026-09-04;REP-6;Репшнур 6мм (ПА);Приход;384;Производство (плетение)
2026-09-04;REP-4;Репшнур 4мм (ПА);Продажа;-243;Отгрузка клиенту
2026-09-04;REP-4;Репшнур 4мм (ПА);Приход;355;Производство (плетение)
2026-09-04;DYN-105;Верёвка динамическая 10.5мм;Продажа;-60;Отгрузка клиенту
2026-09-04;DYN-105;Верёвка динамическая 10.5мм;Приход;57;Производство (плетение)
2026-09-04;DYN-98;Верёвка динамическая 9.8мм;Продажа;-66;Отгрузка клиенту
2026-09-04;DYN-98;Верёвка динамическая 9.8мм;Приход;65;Производство (плетение)
2026-09-04;STAT-12;Верёвка статическая 12мм;Продажа;-45;Отгрузка клиенту
2026-09-04;STAT-12;Верёвка статическая 12мм;Приход;87;Производство (плетение)
2026-09-04;STAT-11;Верёвка статическая 11мм;Продажа;-127;Отгрузка клиенту
2026-09-04;STAT-11;Верёвка статическая 11мм;Приход;141;Производство (плетение)
2026-09-04;STAT-105;Верёвка статическая 10.5мм;Продажа;-88;Отгрузка клиенту
2026-09-04;STAT-105;Верёвка статическая 10.5мм;Приход;149;Производство (плетение)
2026-09-04;STAT-10;Верёвка статическая 10мм;Продажа;-123;Отгрузка клиенту
2026-09-04;STAT-10;Верёвка статическая 10мм;Приход;236;Производство (плетение)
2026-09-04;STAT-9;Верёвка статическая 9мм (ПЭС оплётка);Продажа;-129;Отгрузка клиенту
2026-09-04;STAT-9;Верёвка статическая 9мм (ПЭС оплётка);Приход;128;Производство (плетение)
2026-09-04;TAPE-PK;Скотч упаковочный;Расход;-21.5;Расход в производство
2026-09-04;PKG-BOX;Коробки картонные;Расход;-32.2;Расход в производство
2026-09-04;PKG-STR;Стрейч-плёнка;Расход;-12.5;Расход в производство
2026-09-04;SPOOL-L;Катушки большие (упаков. верёвки);Расход;-17;Расход в производство
2026-09-04;GLS-R;Ровинг стеклянный;Расход;-27.8;Расход в производство
2026-09-04;BAS-R;Ровинг базальтовый;Расход;-21.9;Расход в производство
2026-09-04;SIL-F;Волокно кремнеземное;Расход;-22;Расход в производство
2026-09-04;ARAM-F;Нить арамидная (Русар);Расход;-11.8;Расход в производство
2026-09-04;HMPE-F;Волокно HMPE (Dyneema SK78);Расход;-16.1;Расход в производство
2026-09-03;PACK-10;Верёвка упакованная 10мм (бухты);Продажа;-464;Отгрузка клиенту
2026-09-03;PACK-10;Верёвка упакованная 10мм (бухты);Приход;381;Производство (плетение)
2026-09-03;HORSE-10;Шнур конный спорт 10мм;Продажа;-140;Отгрузка клиенту
2026-09-03;HORSE-10;Шнур конный спорт 10мм;Приход;129;Производство (плетение)
2026-09-03;HORSE-8;Шнур конный спорт 8мм;Продажа;-106;Отгрузка клиенту
2026-09-03;HORSE-8;Шнур конный спорт 8мм;Приход;145;Производство (плетение)
2026-09-03;BANNER-4;Шнур баннерный 4мм;Продажа;-286;Отгрузка клиенту
2026-09-03;BANNER-4;Шнур баннерный 4мм;Приход;427;Производство (плетение)
2026-09-03;BANNER-3;Шнур баннерный 3мм;Продажа;-351;Отгрузка клиенту
2026-09-03;BANNER-3;Шнур баннерный 3мм;Приход;468;Производство (плетение)
2026-09-03;BAG-5;Шнур для пакетов 5мм;Приход;580;Производство (плетение)
2026-09-03;BAG-4;Шнур для пакетов 4мм;Продажа;-571;Отгрузка клиенту
2026-09-03;BAG-4;Шнур для пакетов 4мм;Приход;837;Производство (плетение)
2026-09-03;CARGO-24;Канат грузовой 24мм;Продажа;-56;Отгрузка клиенту
2026-09-03;CARGO-24;Канат грузовой 24мм;Приход;62;Производство (плетение)
2026-09-03;CARGO-20;Канат грузовой 20мм;Продажа;-86;Отгрузка клиенту
2026-09-03;CARGO-20;Канат грузовой 20мм;Приход;118;Производство (плетение)
2026-09-03;CARGO-16;Канат грузовой 16мм;Приход;168;Производство (плетение)
2026-09-03;FENCE-10;Канат ограждающий 10мм;Продажа;-118;Отгрузка клиенту
2026-09-03;FENCE-10;Канат ограждающий 10мм;Приход;173;Производство (плетение)
2026-09-03;FENCE-8;Канат ограждающий 8мм;Приход;273;Производство (плетение)
2026-09-03;FENCE-6;Канат ограждающий 6мм;Продажа;-207;Отгрузка клиенту
2026-09-03;FENCE-6;Канат ограждающий 6мм;Приход;346;Производство (плетение)
2026-09-03;CABLE-8;Трос-лидер 8мм;Продажа;-112;Отгрузка клиенту
2026-09-03;CABLE-8;Трос-лидер 8мм;Приход;136;Производство (плетение)
2026-09-03;CABLE-6;Канат для протяжки кабеля 6мм;Продажа;-171;Отгрузка клиенту
2026-09-03;CABLE-6;Канат для протяжки кабеля 6мм;Приход;177;Производство (плетение)
2026-09-03;CABLE-4;Канат для протяжки кабеля 4мм;Продажа;-252;Отгрузка клиенту
2026-09-03;CABLE-4;Канат для протяжки кабеля 4мм;Приход;275;Производство (плетение)
2026-09-03;LEER-8;Леер для лодок 8мм;Приход;102;Производство (плетение)
2026-09-03;LEER-6;Леер для лодок 6мм;Приход;167;Производство (плетение)
2026-09-03;LEER-5;Леер для лодок 5мм;Продажа;-118;Отгрузка клиенту
2026-09-03;LEER-5;Леер для лодок 5мм;Приход;228;Производство (плетение)
2026-09-03;YAHT-12;Канат яхтенный 12мм;Продажа;-114;Отгрузка клиенту
2026-09-03;YAHT-12;Канат яхтенный 12мм;Приход;109;Производство (плетение)
2026-09-03;YAHT-10;Канат яхтенный (фалы) 10мм;Приход;147;Производство (плетение)
2026-09-03;YAHT-8;Канат яхтенный 8мм;Продажа;-239;Отгрузка клиенту
2026-09-03;YAHT-8;Канат яхтенный 8мм;Приход;225;Производство (плетение)
2026-09-03;YAHT-6;Канат яхтенный (шкоты) 6мм;Приход;234;Производство (плетение)
2026-09-03;FISH-3;Шнур рыболовный 3мм;Продажа;-325;Отгрузка клиенту
2026-09-03;FISH-3;Шнур рыболовный 3мм;Приход;342;Производство (плетение)
2026-09-03;FISH-25;Шнур рыболовный 2.5мм;Продажа;-294;Отгрузка клиенту
2026-09-03;FISH-25;Шнур рыболовный 2.5мм;Приход;469;Производство (плетение)
2026-09-03;FISH-18;Шнур рыболовный (throwline) 1.8мм;Продажа;-657;Отгрузка клиенту
2026-09-03;FISH-18;Шнур рыболовный (throwline) 1.8мм;Приход;630;Производство (плетение)
2026-09-03;GLS-10;Шнур стеклянный 10мм;Продажа;-67;Отгрузка клиенту
2026-09-03;GLS-10;Шнур стеклянный 10мм;Приход;64;Производство (плетение)
2026-09-03;GLS-8;Шнур стеклянный 8мм;Продажа;-65;Отгрузка клиенту
2026-09-03;GLS-8;Шнур стеклянный 8мм;Приход;82;Производство (плетение)
2026-09-03;GLS-6;Шнур стеклянный 6мм;Продажа;-78;Отгрузка клиенту
2026-09-03;GLS-6;Шнур стеклянный 6мм;Приход;95;Производство (плетение)
2026-09-03;GLS-4;Шнур стеклянный 4мм;Продажа;-87;Отгрузка клиенту
2026-09-03;GLS-4;Шнур стеклянный 4мм;Приход;119;Производство (плетение)
2026-09-03;BAS-12;Шнур базальтовый 12мм;Продажа;-65;Отгрузка клиенту
2026-09-03;BAS-12;Шнур базальтовый 12мм;Приход;76;Производство (плетение)
2026-09-03;BAS-10;Шнур базальтовый 10мм (сердечник);Продажа;-93;Отгрузка клиенту
2026-09-03;BAS-10;Шнур базальтовый 10мм (сердечник);Приход;91;Производство (плетение)
2026-09-03;BAS-8;Шнур базальтовый 8мм (сердечник);Приход;108;Производство (плетение)
2026-09-03;BAS-6;Шнур базальтовый 6мм (до 500°C);Приход;127;Производство (плетение)
2026-09-03;SIL-18;Шнур кремнеземный 18мм;Продажа;-30;Отгрузка клиенту
2026-09-03;SIL-18;Шнур кремнеземный 18мм;Приход;34;Производство (плетение)
2026-09-03;SIL-16;Шнур кремнеземный 16мм;Приход;44;Производство (плетение)
2026-09-03;SIL-14;Шнур кремнеземный 14мм;Продажа;-57;Отгрузка клиенту
2026-09-03;SIL-14;Шнур кремнеземный 14мм;Приход;67;Производство (плетение)
2026-09-03;SIL-12;Шнур кремнеземный 12мм;Продажа;-46;Отгрузка клиенту
2026-09-03;SIL-12;Шнур кремнеземный 12мм;Приход;81;Производство (плетение)
2026-09-03;SIL-10;Шнур кремнеземный 10мм;Продажа;-66;Отгрузка клиенту
2026-09-03;SIL-10;Шнур кремнеземный 10мм;Приход;99;Производство (плетение)
2026-09-03;SIL-8;Шнур кремнеземный 8мм;Приход;114;Производство (плетение)
2026-09-03;SIL-6;Шнур кремнеземный 6мм;Продажа;-149;Отгрузка клиенту
2026-09-03;SIL-6;Шнур кремнеземный 6мм;Приход;127;Производство (плетение)
2026-09-03;SIL-4;Шнур кремнеземный 4мм;Приход;136;Производство (плетение)
2026-09-03;PE-10;Канат полиэтиленовый 10мм;Продажа;-155;Отгрузка клиенту
2026-09-03;PE-10;Канат полиэтиленовый 10мм;Приход;185;Производство (плетение)
2026-09-03;PE-8;Канат полиэтиленовый 8мм;Приход;272;Производство (плетение)
2026-09-03;PE-6;Канат полиэтиленовый 6мм;Продажа;-311;Отгрузка клиенту
2026-09-03;PE-6;Канат полиэтиленовый 6мм;Приход;278;Производство (плетение)
2026-09-03;PP-40;Канат ПП 40мм (48-прядный);Продажа;-12;Отгрузка клиенту
2026-09-03;PP-40;Канат ПП 40мм (48-прядный);Приход;21;Производство (плетение)
2026-09-03;PP-32;Канат ПП 32мм (48-прядный);Продажа;-23;Отгрузка клиенту
2026-09-03;PP-32;Канат ПП 32мм (48-прядный);Приход;42;Производство (плетение)
2026-09-03;PP-24;Канат ПП 24мм (48-прядный);Продажа;-81;Отгрузка клиенту
2026-09-03;PP-24;Канат ПП 24мм (48-прядный);Приход;88;Производство (плетение)
2026-09-03;PP-20;Канат ПП 20мм (32-прядный);Продажа;-108;Отгрузка клиенту
2026-09-03;PP-20;Канат ПП 20мм (32-прядный);Приход;123;Производство (плетение)
2026-09-03;PP-16;Канат ПП 16мм (24-прядный);Приход;230;Производство (плетение)
2026-09-03;PP-12;Канат ПП 12мм (16-прядный);Продажа;-162;Отгрузка клиенту
2026-09-03;PP-12;Канат ПП 12мм (16-прядный);Приход;302;Производство (плетение)
2026-09-03;PP-10;Канат ПП 10мм (12-прядный);Приход;376;Производство (плетение)
2026-09-03;PP-8;Канат ПП 8мм (8-прядный);Приход;401;Производство (плетение)
2026-09-03;PA-16;Канат полиамидный 16мм;Приход;136;Производство (плетение)
2026-09-03;PA-14;Канат полиамидный 14мм;Приход;177;Производство (плетение)
2026-09-03;PA-12;Канат полиамидный 12мм;Продажа;-205;Отгрузка клиенту
2026-09-03;PA-12;Канат полиамидный 12мм;Приход;226;Производство (плетение)
2026-09-03;PA-10;Канат полиамидный 10мм;Приход;296;Производство (плетение)
2026-09-03;PA-8;Канат полиамидный 8мм;Продажа;-254;Отгрузка клиенту
2026-09-03;PA-8;Канат полиамидный 8мм;Приход;346;Производство (плетение)
2026-09-03;PA-6;Канат полиамидный 6мм;Продажа;-272;Отгрузка клиенту
2026-09-03;PA-6;Канат полиамидный 6мм;Приход;504;Производство (плетение)
2026-09-03;PA-4;Канат полиамидный 4мм;Продажа;-521;Отгрузка клиенту
2026-09-03;PA-4;Канат полиамидный 4мм;Приход;514;Производство (плетение)
2026-09-03;LS-16;Канат низкорастяжимый 16мм;Продажа;-35;Отгрузка клиенту
2026-09-03;LS-16;Канат низкорастяжимый 16мм;Приход;76;Производство (плетение)
2026-09-03;LS-14;Канат низкорастяжимый 14мм;Продажа;-85;Отгрузка клиенту
2026-09-03;LS-14;Канат низкорастяжимый 14мм;Приход;89;Производство (плетение)
2026-09-03;LS-12;Канат низкорастяжимый 12мм;Продажа;-86;Отгрузка клиенту
2026-09-03;LS-12;Канат низкорастяжимый 12мм;Приход;120;Производство (плетение)
2026-09-03;LS-10;Канат низкорастяжимый 10мм;Продажа;-93;Отгрузка клиенту
2026-09-03;LS-10;Канат низкорастяжимый 10мм;Приход;149;Производство (плетение)
2026-09-03;HMPE-12;Канат HMPE 12мм;Продажа;-31;Отгрузка клиенту
2026-09-03;HMPE-12;Канат HMPE 12мм;Приход;51;Производство (плетение)
2026-09-03;HMPE-10;Канат HMPE 10мм;Продажа;-62;Отгрузка клиенту
2026-09-03;HMPE-10;Канат HMPE 10мм;Приход;79;Производство (плетение)
2026-09-03;HMPE-8;Канат HMPE 8мм;Продажа;-85;Отгрузка клиенту
2026-09-03;HMPE-8;Канат HMPE 8мм;Приход;118;Производство (плетение)
2026-09-03;HMPE-6;Канат HMPE 6мм;Приход;234;Производство (плетение)
2026-09-03;HMPE-4;Канат HMPE 4мм;Приход;353;Производство (плетение)
2026-09-03;HMPE-3;Канат HMPE 3мм;Продажа;-391;Отгрузка клиенту
2026-09-03;HMPE-3;Канат HMPE 3мм;Приход;369;Производство (плетение)
2026-09-03;HMPE-2;Канат HMPE 2мм;Продажа;-402;Отгрузка клиенту
2026-09-03;HMPE-2;Канат HMPE 2мм;Приход;400;Производство (плетение)
2026-09-03;ARAM-6;Шнур арамидный 6мм;Продажа;-106;Отгрузка клиенту
2026-09-03;ARAM-6;Шнур арамидный 6мм;Приход;136;Производство (плетение)
2026-09-03;ARAM-4;Шнур арамидный 4мм;Приход;215;Производство (плетение)
2026-09-03;REP-8;Репшнур 8мм (ПА);Приход;210;Производство (плетение)
2026-09-03;REP-7;Репшнур 7мм (арамид);Приход;152;Производство (плетение)
2026-09-03;REP-6;Репшнур 6мм (ПА);Приход;368;Производство (плетение)
2026-09-03;REP-4;Репшнур 4мм (ПА);Приход;329;Производство (плетение)
2026-09-03;DYN-105;Верёвка динамическая 10.5мм;Продажа;-42;Отгрузка клиенту
2026-09-03;DYN-105;Верёвка динамическая 10.5мм;Приход;48;Производство (плетение)
2026-09-03;DYN-98;Верёвка динамическая 9.8мм;Приход;55;Производство (плетение)
2026-09-03;STAT-12;Верёвка статическая 12мм;Продажа;-92;Отгрузка клиенту
2026-09-03;STAT-12;Верёвка статическая 12мм;Приход;80;Производство (плетение)
2026-09-03;STAT-11;Верёвка статическая 11мм;Продажа;-87;Отгрузка клиенту
2026-09-03;STAT-11;Верёвка статическая 11мм;Приход;134;Производство (плетение)
2026-09-03;STAT-105;Верёвка статическая 10.5мм;Продажа;-152;Отгрузка клиенту
2026-09-03;STAT-105;Верёвка статическая 10.5мм;Приход;169;Производство (плетение)
2026-09-03;STAT-10;Верёвка статическая 10мм;Приход;218;Производство (плетение)
2026-09-03;STAT-9;Верёвка статическая 9мм (ПЭС оплётка);Продажа;-106;Отгрузка клиенту
2026-09-03;STAT-9;Верёвка статическая 9мм (ПЭС оплётка);Приход;135;Производство (плетение)
2026-09-03;TAPE-PK;Скотч упаковочный;Расход;-29.8;Расход в производство
2026-09-03;PKG-BOX;Коробки картонные;Расход;-47.8;Расход в производство
2026-09-03;PKG-STR;Стрейч-плёнка;Расход;-15.7;Расход в производство
2026-09-03;SPOOL-L;Катушки большие (упаков. верёвки);Расход;-18;Расход в производство
2026-09-03;GLS-R;Ровинг стеклянный;Расход;-24.6;Расход в производство
2026-09-03;BAS-R;Ровинг базальтовый;Расход;-23.3;Расход в производство
2026-09-03;SIL-F;Волокно кремнеземное;Расход;-17.9;Расход в производство
2026-09-03;ARAM-F;Нить арамидная (Русар);Расход;-11.2;Расход в производство
2026-09-03;HMPE-F;Волокно HMPE (Dyneema SK78);Расход;-16.2;Расход в производство
2026-09-02;PACK-10;Верёвка упакованная 10мм (бухты);Продажа;-230;Отгрузка клиенту
2026-09-02;PACK-10;Верёвка упакованная 10мм (бухты);Приход;410;Производство (плетение)
2026-09-02;HORSE-10;Шнур конный спорт 10мм;Приход;143;Производство (плетение)
2026-09-02;HORSE-8;Шнур конный спорт 8мм;Приход;176;Производство (плетение)
2026-09-02;BANNER-4;Шнур баннерный 4мм;Приход;429;Производство (плетение)
2026-09-02;BANNER-3;Шнур баннерный 3мм;Продажа;-386;Отгрузка клиенту
2026-09-02;BANNER-3;Шнур баннерный 3мм;Приход;541;Производство (плетение)
2026-09-02;BAG-5;Шнур для пакетов 5мм;Приход;632;Производство (плетение)
2026-09-02;BAG-4;Шнур для пакетов 4мм;Продажа;-535;Отгрузка клиенту
2026-09-02;BAG-4;Шнур для пакетов 4мм;Приход;783;Производство (плетение)
2026-09-02;CARGO-24;Канат грузовой 24мм;Продажа;-58;Отгрузка клиенту
