Артикул;Наименование;Категория;Остаток;Ед.изм;ROP;Статус;Дней до истощения
REP-8;Репшнур 8мм (ПА);ГП;7112;м;800;norm;36
CABLE-8;Трос-лидер 8мм;ГП;6006;м;600;norm;50
ARAM-4;Шнур арамидный 4мм;ГП;8814;м;900;norm;49
ARAM-6;Шнур арамидный 6мм;ГП;5663;м;700;norm;40
BAS-10;Шнур базальтовый 10мм (сердечник);ГП;6506;м;540;norm;72
BAS-12;Шнур базальтовый 12мм;ГП;4816;м;420;norm;69
BAS-6;Шнур базальтовый 6мм (до 500°C);ГП;4859;м;650;norm;37
BAS-8;Шнур базальтовый 8мм (сердечник);ГП;7568;м;550;norm;69
BANNER-3;Шнур баннерный 3мм;ГП;12345;м;1500;norm;25
BANNER-4;Шнур баннерный 4мм;ГП;11064;м;1200;norm;28
BAG-4;Шнур для пакетов 4мм;ГП;14775;м;1600;norm;18
BAG-5;Шнур для пакетов 5мм;ГП;18644;м;1200;norm;31
HORSE-10;Шнур конный спорт 10мм;ГП;6057;м;600;norm;50
HORSE-8;Шнур конный спорт 8мм;ГП;8146;м;750;norm;54
SIL-10;Шнур кремнеземный 10мм;ГП;4332;м;600;norm;43
SIL-12;Шнур кремнеземный 12мм;ГП;6934;м;480;norm;87
SIL-14;Шнур кремнеземный 14мм;ГП;3184;м;360;norm;53
SIL-16;Шнур кремнеземный 16мм;ГП;4403;м;315;norm;98
SIL-18;Шнур кремнеземный 18мм;ГП;4744;м;210;norm;158
SIL-4;Шнур кремнеземный 4мм;ГП;4923;м;750;norm;33
SIL-6;Шнур кремнеземный 6мм;ГП;7164;м;700;norm;51
SIL-8;Шнур кремнеземный 8мм;ГП;7257;м;600;norm;60
FISH-18;Шнур рыболовный (throwline) 1.8мм;ГП;15850;м;1800;norm;26
FISH-25;Шнур рыболовный 2.5мм;ГП;11654;м;1200;norm;29
FISH-3;Шнур рыболовный 3мм;ГП;7971;м;900;norm;27
GLS-10;Шнур стеклянный 10мм;ГП;3895;м;360;norm;65
GLS-4;Шнур стеклянный 4мм;ГП;5550;м;600;norm;46
GLS-6;Шнур стеклянный 6мм;ГП;5623;м;500;norm;56
GLS-8;Шнур стеклянный 8мм;ГП;4310;м;400;norm;54
HMPE-F;Волокно HMPE (Dyneema SK78);Сырьё;843;кг;420;norm;56
SIL-F;Волокно кремнеземное;Сырьё;955;кг;360;norm;48
ARAM-F;Нить арамидная (Русар);Сырьё;1852;кг;252;norm;154
PA-F;Нить полиамидная (капрон);Сырьё;0;кг;1500;crit;0
PP-F;Нить полипропиленовая;Сырьё;0;кг;2080;crit;0
PE-F;Нить полиэтиленовая (HDPE);Сырьё;0;кг;840;crit;0
PES-F;Нить полиэфирная (полиэстер);Сырьё;0;кг;960;crit;0
BAS-R;Ровинг базальтовый;Сырьё;666;кг;350;norm;27
GLS-R;Ровинг стеклянный;Сырьё;32;кг;390;crit;1
